Type / Creator / Imprint,Publisher,Author,Title,Extra Title Info,Permanent Location,Call Number,Date,Status,Material Type,MMS ID
"Book By Tipton Woman's Club. ([Tipton, Iowa] : [Tipton Woman's Club?], 1964.)","[Tipton, Iowa] : [Tipton Woman's Club?], 1964.)",Tipton Woman's Club.,How Iowa cooks : a collection of recipes from people of Iowa,"compiled by Tipton Woman's Club, Tipton, Iowa.",PARKS Special Collections,TX715 H839 1964,1964,Item in place,Book,990015221710102756
"Book By Tipton Woman's Club. (Tipton, Iowa : Tipton Conservative, 1964.)","Tipton, Iowa : Tipton Conservative, 1964.)",Tipton Woman's Club.,How Iowa cooks : a collection of recipes from people of Iowa,"compiled by Tipton Woman's Club, Tipton, Iowa.",PARKS General Collection,TX715 H8392x 1964,1964,Item in place,Book,990015794330102756
"Book By Bethlehem Lutheran Church (Royal, Iowa). (Kearney, Neb. : Cookbooks by Morris Press, [1999])","Royal, Iowa). (Kearney, Neb. : Cookbooks by Morris Press, [1999])",Bethlehem Lutheran Church,The Bethlehem Lutheran cookbook : a collection of recipes,"from members of Bethlehem Lutheran Church in Royal, Iowa.",PARKS General Collection,TX715.2 M53 B495x 1999,1999,Item in place,Book,990016432010102756
"Book By Congregational Church (Mason City, Iowa) Women's Society. (Mason City, Iowa : Women's Society of the Congregational Church Mason City, Iowa, 1896.)","Mason City, Iowa) Women's Society. (Mason City, Iowa : Women's Society of the Congregational Church Mason City, Iowa, 1896.)",Congregational Church,Mason City cook book : a collection of choice recipes,contributed by the Ladies of Mason City.,PARKS Special Collections,TX715.2 M53 M385x 1896,1896,Item in place,Book,9920511288102756
"Book By Iowa State University. Student Dietetic Association. (Kearney, NE : Morris Press Cookbooks, [2008])","Kearney, NE : Morris Press Cookbooks, [2008])",Iowa State University. Student Dietetic Association.,Vegetable cookbook : a collection of recipes,by Iowa State University Student Dietetic Association.,PARKS Spec Coll: Archives,TX801 V42x 2008,2008,Item in place,Book,990017134250102756
"Book By Stone Academy Foundation (Solon, Iowa) Cookbook Committee. (Deep River, Iowa : Brennan Printing, 1987.)","Solon, Iowa) Cookbook Committee. (Deep River, Iowa : Brennan Printing, 1987.)",Stone Academy Foundation,"Preserving Iowa history : Stone Academy (1842) cookbook, Solon, Iowa.",,PARKS General Collection,TX715.2 M53 P75x 1987,1987,Item in place,Book,990016082760102756
"Book (Rockwell City, Iowa : Dudley Printing, [2001])","Rockwell City, Iowa : Dudley Printing, [2001])",Book,"Quasquicentennial cookbook : Rockwell City, Iowa, 1876-2001",[compiled by Helen Dudley and Jo Ann Maguire.],PARKS General Collection,TX715.2 M53 Q37x 2001,2001,Item in place,Book,990016281050102756
"Book By St. Joseph Catholic Church (Milford, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 2004.)","Milford, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 2004.)",St. Joseph Catholic Church,St. Joseph family cookbook : a collection of recipes,by members and friends of St. Joseph Catholic Church.,PARKS General Collection,TX715.2 M53 S253x 2004,2004,Item in place,Book,990016193470102756
"Book By Krier, Jack. (Audubon, Iowa : Jumbo Jack's Cookbook Company ; and [1986])","Audubon, Iowa : Jumbo Jack's Cookbook Company ; and [1986])","Krier, Jack.",Iowa homecoming 86 official cookbook,"produced by: Jumbo Jack's Cookbook Company, Jack & Kathy Krier and C. J. & Company, C. J. Niles, Audubon, Iowa.",PARKS General Collection,TX715.2 M53 I67x 1986,1986,Item in place,Book,990016397810102756
"Book By West Des Moines Methodist Church (West Des Moines, Iowa). Woman's Society of Christian Service. (West Des Moines, Iowa : West Des Moines Methodist Church, 1960.)","West Des Moines, Iowa). Woman's Society of Christian Service. (West Des Moines, Iowa : West Des Moines Methodist Church, 1960.)",West Des Moines Methodist Church,"The second collection of favorite recipes from the Woman's Society of Christian Service, the Methodist Church, West Des Moines, Iowa.",,PARKS Special Collections,TX715.2 M53 S43x 1960,1960,Item in place,Book,990015129010102756
"Book By McKee, Gwen. (Brandon, MS : Quail Ridge Press, [2009])","Brandon, MS : Quail Ridge Press, [2009])","McKee, Gwen.","Best of the best from the Midwest cookbook : selected recipes from the favorite cookbooks of Iowa, Illinois, Indiana, and Ohio",edited by Gwen McKee and Barbara Moseley ; illustrated by Tupper England.,PARKS General Collection,TX715.2 M53 B47 2009,2009,Item in place,Book,990018549860102756
"Book By Oakland Historical Society (Oakland, Iowa). (Iowa Falls, Iowa : General Publishing and Binding, 1969.)","Oakland, Iowa). (Iowa Falls, Iowa : General Publishing and Binding, 1969.)",Oakland Historical Society,Oakland Historical Society cookbook : a collection of recipes from our families,"compiled by members of the Oakland Historical Society, Oakland Iowa.",PARKS Special Collections,TX715.2 M53 O25x 1975,1975,Item in place,Book,9920500288702756
"Book By Winthrop Swim Club (Winthrop, Iowa) (Deep River, Iowa : Brennan Printing, 1994.)","Winthrop, Iowa) (Deep River, Iowa : Brennan Printing, 1994.)",Winthrop Swim Club,"Winthrop, Iowa cookbook",[Winthrop Swim Club].,PARKS General Collection,TX715.2 M53 W56x 1994,1994,Item in place,Book,990015981430102756
"Book By Whittemore (Iowa). Quasquicentennial History Cookbook Committee. (Deep River, Iowa : Brennan Printing, 2002.)","Iowa). Quasquicentennial History Cookbook Committee. (Deep River, Iowa : Brennan Printing, 2002.)",Whittemore,"Whittemore, Iowa history cookbook : 125 years",[Quasquicentennial History Cookbook Committee],PARKS General Collection,TX715.2 M53 W55x 2002,2002,Item in place,Book,990014539800102756
"Book By Iowa. Department of Agriculture and Land Stewardship. (Des Moines, Iowa : Iowa Department of Agriculture and Land Stewardship?, [between 1900 and 1999])","Des Moines, Iowa : Iowa Department of Agriculture and Land Stewardship?, [between 1900 and 1999])",Iowa. Department of Agriculture and Land Stewardship.,My Iowa cookbook,[Iowa Department of Agriculture and Land Stewardship],PARKS Special Collections,TX715.2 M53 M93x,TX715.2 M53 M93x,Item in place,Book,990018202630102756
"Book By Bagley Culture Club (Bagley, Iowa) Centennial Cookbook Committee. ([Bagley, Iowa] : [Bagley Culture Club?], 1982.)","Bagley, Iowa) Centennial Cookbook Committee. ([Bagley, Iowa] : [Bagley Culture Club?], 1982.)",Bagley Culture Club,"Bagley, Iowa centennial cookbook 1882-1982",[Bagley Culture Club Centennial Cookbook Committee],PARKS General Collection,TX715.2 M53 B34x 1982,1982,Item in place,Book,990017369530102756
"Book By Louisa County (Iowa). Bicentennial Committee. (Kansas City, Kan. : Cookbook Publishers, Inc., 1976.)","Iowa). Bicentennial Committee. (Kansas City, Kan. : Cookbook Publishers, Inc., 1976.)",Louisa County,"1976 Louisa County, Iowa bicentennial cookbook","[Bicentennial Committee of Louisa County, Iowa.]",PARKS General Collection,TX715.2 M53 A166x 1976,1976,Item in place,Book,990016210680102756
"Book By Carlson, Bruce, (Wever, Iowa : Quixote Press, 1989.)","Wever, Iowa : Quixote Press, 1989.)","Carlson, Bruce,",Iowa's roadkill cookbook,by Bruce Carlson.,PARKS General Collection,TX715.2 M53 C359x 1989,1989,Item in place,Book,990018549880102756
"Book By Bergen Lutheran Church (Roland, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, [1983])","Roland, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, [1983])",Bergen Lutheran Church,1983 Roland-Iowa cookbook,Bergen Lutheran Church.,PARKS General Collection,TX715.2 M53 A168x 1983,1983,Item in place,Book,9920354889602756
"Book By Hoogeveen, Nate. (West Des Moines, IA (P.O. Box 65453, West Des Moines, 50265) : Iowa Whitewater Coalition, [2004])","West Des Moines, IA (P.O. Box 65453, West Des Moines, 50265) : Iowa Whitewater Coalition, [2004])","Hoogeveen, Nate.",Iowa's rivers cookbook : recipes by Iowans who love Iowa's rivers,"[Nate Hoogeveen, cookbook editor].",PARKS General Collection,TX823 I59x 2004,2004,Item in place,Book,990015442830102756
"Book By Garwin (Iowa). Quasquicentennial Cookbook Committee. (Audubon, Iowa : Jumbo Jack's Cookbooks, [2004])","Iowa). Quasquicentennial Cookbook Committee. (Audubon, Iowa : Jumbo Jack's Cookbooks, [2004])",Garwin,"1880-2005 Garwin, Iowa, Quasquicentennial : a collection of recipes from ""A little town with a lot of heart""",[Garwin Quasquicentennial Cookbook Committee],PARKS General Collection,TX715.2 M53 A16x 2004,2004,Item in place,Book,990015680410102756
"Book By Balser, Jean. (Des Moines, Iowa (P.O. Box 57130, Des Moines 50317-0003) : Iowa State Fair Cookbook, [2004])","Des Moines, Iowa (P.O. Box 57130, Des Moines 50317-0003) : Iowa State Fair Cookbook, [2004])","Balser, Jean.",Recipes from the Iowa State Fair cookbook : taste the tradition,"[edited by Jean Balser, Jean Koss and Kathie Swift]",PARKS Spec Coll: Archives,TX715 R29x 2004,2004,Item in place,Book,990015245640102756
"Book By Roosevelt School (Ames, Iowa). ([Place of publication not identified] : [publisher not identified], [2002])","Ames, Iowa). ([Place of publication not identified] : [publisher not identified], [2002])",Roosevelt School,"Roosevelt community cookbook : a collection of recipes from families, teachers, alumni and neighbors",[Roosevelt School P.T.A.].,PARKS General Collection,TX715.2 M53 R665x 2002,2002,Item in place,Book,990016437640102756
"Book By Iowa Sesquicentennial Commission. (Deep River, Iowa : Brennan Printing, [1995])","Deep River, Iowa : Brennan Printing, [1995])",Iowa Sesquicentennial Commission.,150 years of good Iowa cooking : the official State of Iowa sesquicentennial cookbook,Iowa Sesquicentennial Commission.,PARKS General Collection,TX715.2 M53 O54x 1995,1995,Item in place,Book,990016207200102756
"Book By Iowa State Fair. (Des Moines, Iowa : Iowa State Fair, [2006])","Des Moines, Iowa : Iowa State Fair, [2006])",Iowa State Fair.,"Prize winning recipes cookbook , Iowa State Fair.",,PARKS Spec Coll: Archives,TX715.2 M53 I69228x 2006,2006,Item in place,Book,990016205030102756
"Book By Porter, Kristin, ([Ankeny, Iowa] : Iowa Food & Family Project, 2019.)","[Ankeny, Iowa] : Iowa Food & Family Project, 2019.)","Porter, Kristin,","Iowa food and family cookbook : featuring bloggers from Iowa girl eats, Food & swine.",,PARKS Special Collections,TX715.2 M53 I6655x 2019,2019,Item in place,Book,9920511289402756
"Book By First United Methodist Church (Fort Madison, Iowa). (Deep River, Iowa : Brennan Printing, 1991.)","Fort Madison, Iowa). (Deep River, Iowa : Brennan Printing, 1991.)",First United Methodist Church,Iowa cooks : sesquicentennial cookbook,"First United Methodist Church, Fort Madison, Iowa.",PARKS General Collection,TX715.2 M53 I595x 1991,1991,Item in place,Book,990016727160102756
"Book By Dundee Community Club. (Dundee, Iowa : [Dundee Community Club], [1987?])","Dundee, Iowa : [Dundee Community Club], [1987?])",Dundee Community Club.,"Dundee, Iowa centennial cookbook",[compiled by Dundee Community Club],PARKS General Collection,TX715.2 M53 D86x 1987,1987,Item in place,Book,990015723220102756
"Book By St. Charles Parish (St. Charles, Iowa) (St. Charles, IA (305 W. Main, St. Charles 50240) : Send orders to: St. Charles Parish, [2005])","St. Charles, Iowa) (St. Charles, IA (305 W. Main, St. Charles 50240) : Send orders to: St. Charles Parish, [2005])",St. Charles Parish,"Gateway to the bridges, St. Charles, Iowa : community cookbook",[compiled by the ladies of St. Charles Parish].,PARKS General Collection,TX715.2 M53 G37x 2005,2005,Item in place,Book,990015785640102756
"Book By Neff, Diana L. (Princeton, Iowa : D.L. Neff, [2000])","Princeton, Iowa : D.L. Neff, [2000])","Neff, Diana L.","Turning the pages of time : Iowa cookbook II : blend of the old and new recipes, history and Iowa memories",by Diana L. Neff.,PARKS General Collection,TX715.2 M53 N44x 2000,2000,Item in place,Book,990012899800102756
"Book By St. John's Lutheran Church (Preston, Iowa) (Audubon, Iowa (P.O. Box 247, Audubon, 50025) : Jumbo Jack's Cookbook Co., 1989.)","Preston, Iowa) (Audubon, Iowa (P.O. Box 247, Audubon, 50025) : Jumbo Jack's Cookbook Co., 1989.)",St. John's Lutheran Church,"St. John's Lutheran Church, Preston, Iowa : 1890-centennial cookbook - 1990.",,PARKS General Collection,TX715.2 M53 S2526x 1989,1989,Item in place,Book,990015933280102756
"Book By Hultman family. (Waverly, Iowa : G & R Publishing Company, [2000])","Waverly, Iowa : G & R Publishing Company, [2000])",Hultman family.,The gardening gourmets cookbook : a collection of our family's favorite recipes,by the Hultman girls.,PARKS General Collection,TX715.2 M53 G35x 2000,2000,Item in place,Book,990016432240102756
"Book By Order of Pythian Sisters. Iowa. ([Iowa] : [Order of Pythian Sisters], [1984?])","[Iowa] : [Order of Pythian Sisters], [1984?])",Order of Pythian Sisters. Iowa.,Iowa Pythian Sisters cookbook.,,PARKS General Collection,TX715.2 M53 I69x 1984,1984,Item in place,Book,990015724280102756
"Book By Iowa Methodist Health Foundation. (Nashville, Tenn. : Favorite Recipes Press, [1991])","Nashville, Tenn. : Favorite Recipes Press, [1991])",Iowa Methodist Health Foundation.,Iowa Methodist banquet : a cookbook,[compiled by the Iowa Methodist Health Foundation].,PARKS General Collection,TX715.2 M53 I6925x 1991,1991,Item in place,Book,990016221500102756
"Book By Martin, Peggy ([Ames, Iowa :], [publisher not identified], [Iowa State University, Cooperative Extension Service, 2011])","[Ames, Iowa :], [publisher not identified], [Iowa State University, Cooperative Extension Service, 2011])","Martin, Peggy","Healthy & homemade : a collection of recipes from Iowa State University Extension ; [prepared by Peggy Martin, Justine Hoover].",,PARKS Spec Coll: Archives,TX715.2 M53 M374x 2011,2011,Item in place,Book,990018886760102756
"Book By Moye-Rowley, Mary. ([Iowa City, Iowa] : [University of Iowa], [2001?])","[Iowa City, Iowa] : [University of Iowa], [2001?])","Moye-Rowley, Mary.",A? La heart : Iowa City's Ronald McDonald House cookbook,illustrated & designed by Mary Moye-Rowley.,PARKS General Collection,TX715.2 M53 A24x 2001,2001,Item in place,Book,990019111610102756
"Book ([Gilbert, IA (109 Rothmoor Dr., Gilbert 50105)] : [Mail orders to GESS/PTO, Gilbert Elementary], [1992])","[Gilbert, IA (109 Rothmoor Dr., Gilbert 50105)] : [Mail orders to GESS/PTO, Gilbert Elementary], [1992])",Book,"Gilbert community cookbook, Gilbert, Iowa.",,PARKS General Collection,TX715.2 M53 G55x 1992,1992,Item in place,Book,990015723700102756
"Book By Iowa State Fair. (Des Moines, Iowa : Iowa State Fair, [1988])","Des Moines, Iowa : Iowa State Fair, [1988])",Iowa State Fair.,Recipes to savor : Iowa State Fair cookbook.,,PARKS General Collection,"TX715 R29x, 1988",1988,Item in place,Book,990005527420102756
"Book By Sacred Heart Church (Oxford Junction, Iowa). St. Elizabeth Circle. ([Oxford Junction, Iowa] : The Church, [between 1960 and 1969?])","Oxford Junction, Iowa). St. Elizabeth Circle. ([Oxford Junction, Iowa] : The Church, [between 1960 and 1969?])",Sacred Heart Church,"St. Elizabeth and St. Helena Circles, Sacred Heart Church, Oxford Junction, Iowa : [cookbook]",,PARKS Special Collections,TX715.2 M53 S2522x,TX715.2 M53 S2522x,Item in place,Book,990015140590102756
"Book By Bullock, Jayne. (Ames, Iowa (317 Fifth St., Ames 50010) : Audubon, IA : The Tribune ; [2004])","Ames, Iowa (317 Fifth St., Ames 50010) : Audubon, IA : The Tribune ; [2004])","Bullock, Jayne.",Mid-Iowa cooks : a collection of recipes,[compiled by Jayne Bullock].,PARKS General Collection,TX715.2 M53 M53x 2004,2004,Item in place,Book,990015377400102756
"Book By Henry, Linda. (Des Moines, Iowa : Iowa State Fair Board, [1993])","Des Moines, Iowa : Iowa State Fair Board, [1993])","Henry, Linda.",The only cookbook of its kind : recipes from the Iowa State Fair,"[edited by Linda Henry, Jean Koss and Kathie Swift]",PARKS General Collection,TX715.2 M53 O56x 1993,1993,Item in place,Book,990018358560102756
"Book By First Baptist Church (Indianola, Iowa) Youth organization. (Collierville, Tenn. : Fundcraft Publishing Inc., 1984.)","Indianola, Iowa) Youth organization. (Collierville, Tenn. : Fundcraft Publishing Inc., 1984.)",First Baptist Church,"First Baptist Church youth cookbook, Indianola, Iowa.",,PARKS General Collection,TX715.2 M53 F57x 1984,1984,Item in place,Book,990015564260102756
"Book By St. Mary's Catholic Church (Grinnell, Iowa). (Audubon, Iowa : Jumbo Jack's Cookbooks, 1995.)","Grinnell, Iowa). (Audubon, Iowa : Jumbo Jack's Cookbooks, 1995.)",St. Mary's Catholic Church,"St. Mary's Parish cookbook, Grinnell, Iowa",[compiled by St. Mary's Parish].,PARKS General Collection,TX715.2 M53 S2546x 1995,1995,Item in place,Book,990019674240102756
"Book By Immanuel United Methodist Church (Des Moines, Iowa) (Kearney, Neb. : Morris Press Cookbooks, [2003])","Des Moines, Iowa) (Kearney, Neb. : Morris Press Cookbooks, [2003])",Immanuel United Methodist Church,"Recipes of note : a collection by Immanuel Bells [Immanuel United Methodist Church, Des Moines, Iowa]",,PARKS General Collection,TX715.2 M53 R4539x 2003,2003,Item in place,Book,990017110550102756
"Book By Greenwood Church (Des Moines, Iowa). (Des Moines, Iowa : Heilhecker Printing, 1912.)","Des Moines, Iowa). (Des Moines, Iowa : Heilhecker Printing, 1912.)",Greenwood Church,Greenwood cook book : a collection of tried recipes,compiled by the ladies of Greenwood Church.,PARKS Special Collections,TX715.2 M53 G745x 1912,1912,Item in place,Book,990018971410102756
"Book By Friends of Madrid Public Library. (Audubon, Iowa : Madrid, Iowa : Printed by Jumbo Jack's Cookbooks ; [1993])","Audubon, Iowa : Madrid, Iowa : Printed by Jumbo Jack's Cookbooks ; [1993])",Friends of Madrid Public Library.,"Friends of the Library cookbook, Madrid, Iowa.",,PARKS General Collection,TX715.2 M53 F752x 1993,1993,Item in place,Book,990015947530102756
"Book By Immanuel Lutheran Church (Lidderdale, Iowa) (Lidderdale, IA (Box 100, Lidderdale 51452) : Mail orders to Immanuel Lutheran Church, 1997.)","Lidderdale, Iowa) (Lidderdale, IA (Box 100, Lidderdale 51452) : Mail orders to Immanuel Lutheran Church, 1997.)",Immanuel Lutheran Church,"Immanuel Lutheran Church cookbook : Lidderdale, Iowa.",,PARKS General Collection,TX715.2 M53 I462x 1997,1997,Item in place,Book,990015974020102756
"Book By P.E.O. Sisterhood. Chapter CM (Keota, Iowa) ([Place of publication not identified] : [publisher not identified], [date of publication not identified])","Keota, Iowa) ([Place of publication not identified] : [publisher not identified], [date of publication not identified])",P.E.O. Sisterhood. Chapter CM,Serving with style : Iowa state chapter cookbook,"compiled by [P.E.O. Sisterhood] Chapter CM, Keota.",PARKS General Collection,TX715.2 M53 S475x,TX715.2 M53 S475x,Item in place,Book,990016737660102756
"Book By Steenson, Marge. (Des Moines, Iowa : Iowa State Fair Authority, [1998])","Des Moines, Iowa : Iowa State Fair Authority, [1998])","Steenson, Marge.",Recipe treasures from the Iowa State Fair,"Iowa State Fair ; [editors, Marge Steenson, Jean Koss and Kathie Swift].",PARKS General Collection,TX715 R2848x 1998,1998,Item in place,Book,990011598520102756
"Book By Iowa Federation of Republican Women (Waterloo, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 1991.)","Waterloo, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 1991.)",Iowa Federation of Republican Women,Iowa Federation of Republican Women cookbook.,,PARKS General Collection,TX715.2 M53 I665x 1991,1991,Item in place,Book,990017344500102756
"Book ([Des Moines, Iowa] : Meredith Corp., 1976.)","[Des Moines, Iowa] : Meredith Corp., 1976.)",Book,All-American tossed salads.,,PARKS General Collection,TX807 A44x 1976,1976,Item in place,Book,990017940910102756
"Book ([Des Moines, Iowa] : Meredith Corp., 1976.)","[Des Moines, Iowa] : Meredith Corp., 1976.)",Book,Seafood salads.,,PARKS General Collection,TX807 S43x 1976,1976,Item in place,Book,990017950980102756
"Book ([Des Moines, Iowa] : Meredith Corp., 1976.)","[Des Moines, Iowa] : Meredith Corp., 1976.)",Book,Super salad sandwiches.,,PARKS General Collection,TX807 S87x 1976,1976,Item in place,Book,990017950960102756
"Book ([Des Moines, Iowa] : Meredith Corp., 1976.)","[Des Moines, Iowa] : Meredith Corp., 1976.)",Book,International salads.,,PARKS General Collection,TX807 I58x 1976,1976,Item in place,Book,990017950940102756
"Book ([Des Moines, Iowa] : Meredith Corp., 1976.)","[Des Moines, Iowa] : Meredith Corp., 1976.)",Book,Great soups and salads.,,PARKS General Collection,TX757 G737x 1976,1976,Item in place,Book,990017951030102756
"Book ([Des Moines, Iowa] : Meredith Corp., 1976.)","[Des Moines, Iowa] : Meredith Corp., 1976.)",Book,Meats in your salads.,,PARKS General Collection,TX807 M43x 1976,1976,Item in place,Book,990017950990102756
"Book ([Des Moines, Iowa] : Meredith Corp., 1976.)","[Des Moines, Iowa] : Meredith Corp., 1976.)",Book,Low calorie salads.,,PARKS General Collection,TX807 L69x 1976,1976,Item in place,Book,990017940940102756
"Book ([Des Moines, Iowa] : Meredith Corp., 1976.)","[Des Moines, Iowa] : Meredith Corp., 1976.)",Book,Quick and easy salads.,,PARKS General Collection,TX807 Q95x 1976,1976,Item in place,Book,990017950920102756
"Book ([Des Moines, Iowa] : Meredith Corp., 1976.)","[Des Moines, Iowa] : Meredith Corp., 1976.)",Book,Fresh fruits of summer.,,PARKS General Collection,TX807 F684x 1976,1976,Item in place,Book,990017940890102756
"Book ([Des Moines, Iowa] : Meredith Corp., 1976.)","[Des Moines, Iowa] : Meredith Corp., 1976.)",Book,Fruit and vegetable platters.,,PARKS General Collection,TX807 F78x 1976,1976,Item in place,Book,990017951010102756
"Book By P. Buckley Moss Society. Heart of Iowa Chapter. (Kearney, NE : Morris Press Cookbooks, [2005])","Kearney, NE : Morris Press Cookbooks, [2005])",P. Buckley Moss Society. Heart of Iowa Chapter.,Heart of Iowa presents recipes from the heart : a collection,"by Heart of Iowa Chapter, P. Buckley Moss Society [cookbook committee].",PARKS General Collection,TX715.2 M53 H428x 2005,2005,Item in place,Book,990015757380102756
"Book By Koss, Jean, (Des Moines, Iowa : Iowa State Fair, [2018])","Des Moines, Iowa : Iowa State Fair, [2018])","Koss, Jean,",Iowa State Fair cookbook : prize winning recipes 2016 & 2017,"edited by Jean Koss, Jean Lucas, Mindy Williamson, and Kate Van Manen.",PARKS General Collection,TX715.2 M53 I69228x 2018,2018,Item in place,Book,9921449312302756
"Book By First Christian Church (Nevada, Iowa). (Pleasanton, Kan. : Fundcraft Publishing, Inc., [1977])","Nevada, Iowa). (Pleasanton, Kan. : Fundcraft Publishing, Inc., [1977])",First Christian Church,Butter 'n love recipes,"[First Christian Church, Nevada, Iowa]",PARKS General Collection,TX715.2 M53 B8874x 1977,1977,Item in place,Book,990016425320102756
"Book By Koss, Jean, (Des Moines, IA : Iowa State Fair, [2022].)","Des Moines, IA : Iowa State Fair, [2022].)","Koss, Jean,",Iowa State Fair 21st edition Cookbook : prize-winning recipes from 2021,"[editors: Jean Koss, Jean Lucas, Mindy Williamson, and Whitney Long]",PARKS General Collection,TX715.2 M53 I69228x 2022,2022,Item in place,Book,9921449312602756
"Book By Anita Quasquicentennial Cookbook Committee (Anita, Iowa). (Audubon, Iowa : Jumbo Jack's Cookbooks, Audubon Media Corporation, 1999.)","Anita, Iowa). (Audubon, Iowa : Jumbo Jack's Cookbooks, Audubon Media Corporation, 1999.)",Anita Quasquicentennial Cookbook Committee,"Anita quasquicentennial cookbook : Anita, Iowa, 1875-2000",Anita Quasquicentennial Cookbook Committee: Harriet Alff; Gloria Turner; Virginia Thelen; Janell Barber; Audry Wahlert; Jackie Bailey; Darnell Kinzie; Connie Turner.,PARKS General Collection,TX715.2 M53 A55x 1999,1999,Item in place,Book,9920318370602756
"Book By Fluckey, Catherine. (Audubon, Iowa : Jumbo Jack's Cookbook Co., 1986.)","Audubon, Iowa : Jumbo Jack's Cookbook Co., 1986.)","Fluckey, Catherine.","Centennial cookbook : Arispe, Iowa, 1887-1987","[Arispe Centennial Cookbook Committee, Catherine Fluckey and Irene Weis, chairpersons].",PARKS General Collection,TX715.2 M53 C4623x 1986,1986,Item in place,Book,990015940890102756
