Year Built,Basement Area (sqft),Living Area (sqft),Total Room,Garage Cars,Yr Sold,SalePrice,Garage,Age (years)
2005,1468,1468,6,2,2010,271500,L,5
2004,956,2084,8,2,2010,233000,L,6
2004,831,1659,8,2,2010,181000,L,6
1994,948,2110,8,2,2010,205000,L,16
1980,923,923,5,1,2010,143000,S,30
1992,1055,1845,8,2,2010,189000,L,18
1979,918,918,5,1,2010,99500,S,31
1984,744,752,4,1,2010,125000,S,26
1993,996,1744,7,2,2010,194500,L,17
1984,1040,1097,6,2,2010,152000,L,26
1980,650,1564,7,2,2010,171000,L,30
1920,816,1012,5,1,2010,67500,S,90
1978,0,1902,8,2,2010,112000,L,32
1961,1109,1155,6,2,2010,148000,L,49
1965,894,894,5,1,2010,138500,S,45
1967,882,900,5,1,2010,122000,S,43
1963,1040,1040,5,1,2010,133000,S,47
1962,1040,1040,6,1,2010,127000,S,48
1974,1208,1494,7,2,2010,169000,L,36
1992,750,1923,8,2,2010,190000,L,18
1993,1231,2349,9,3,2010,362500,L,17
1992,1390,2225,7,3,2010,285000,L,18
2004,1488,1488,6,2,2010,260000,L,6
2004,840,1680,3,2,2010,190000,L,6
2004,600,1200,4,2,2010,155000,L,6
2004,600,1200,4,2,2010,151000,L,6
2004,600,1200,4,2,2010,149500,L,6
2005,600,1236,4,2,2010,152000,L,5
2009,1470,1478,7,2,2010,222000,L,1
2000,756,1573,5,2,2010,177500,L,10
2000,756,1512,5,2,2010,177000,L,10
1999,696,1416,6,2,2010,155000,L,11
2003,530,1080,4,2,2010,147110,L,7
2010,1642,1418,6,3,2010,267916,L,0
2000,975,1848,7,2,2010,254000,L,10
1980,728,788,3,2,2010,155000,L,30
1978,1226,1226,4,2,2010,206000,L,32
1976,725,1479,6,2,2010,130500,L,34
2002,1492,1492,6,2,2010,230000,L,8
1967,1829,1829,8,2,2010,218500,L,43
1993,1280,2495,9,2,2010,243500,L,17
1977,1610,1610,6,2,2010,205000,L,33
1978,1224,1891,7,2,2010,212500,L,32
1988,980,1714,7,2,2010,196500,L,22
1972,1161,1381,5,2,2010,197500,L,38
1971,715,1645,7,2,2010,171000,L,39
1966,1232,1232,6,2,2010,142250,L,44
1963,1328,1328,6,2,2010,143000,L,47
1959,950,1225,6,0,2010,128950,S,51
1966,1209,1209,6,2,2010,159000,L,44
1967,1510,1510,6,2,2010,178900,L,43
1964,533,1775,8,2,2010,136300,L,46
1964,1152,1152,6,2,2010,180500,L,46
1963,936,1054,6,2,2010,137500,L,47
1962,1728,1728,10,0,2010,84900,S,48
1950,1078,1078,5,1,2010,142125,S,60
1952,1140,2461,7,2,2010,197600,L,58
1949,782,1556,6,2,2010,172500,L,61
1958,858,858,4,0,2010,116500,S,52
1940,728,1306,6,0,2010,76500,S,70
1954,1056,1063,6,1,2010,128000,S,56
1955,1156,1520,7,1,2010,153000,S,55
1954,1268,1268,7,1,2010,132000,S,56
1966,1080,1128,5,1,2010,178000,S,44
1960,1105,2274,12,2,2010,154300,L,50
1970,1947,2207,7,2,2010,180000,L,40
1966,1517,1888,6,2,2010,190000,L,44
1958,1604,1604,8,2,2010,135000,L,52
2003,1480,1480,7,2,2010,214000,L,7
1959,1143,1143,6,1,2010,136000,S,51
1959,1398,1700,6,2,2010,165500,L,51
1957,1314,1314,5,1,2010,145000,S,53
1959,1194,1194,6,1,2010,148000,S,51
1959,1188,1188,6,2,2010,142000,L,51
1960,1268,1264,6,2,2010,167500,L,50
1959,1206,1206,6,1,2010,108538,S,51
1959,1244,1580,6,2,2010,159500,L,51
1956,832,1337,5,1,2010,108000,S,54
1952,864,1064,4,1,2010,135000,S,58
1955,972,972,5,1,2010,122500,S,55
1958,988,988,5,1,2010,119000,S,52
1953,1057,1057,5,1,2010,109000,S,57
1920,576,985,4,2,2010,105000,L,90
1955,0,827,5,1,2010,107500,S,55
1954,1086,1086,6,2,2010,144900,L,56
1956,936,936,4,1,2010,129000,S,54
1948,912,1458,6,1,2010,97500,S,62
1980,1056,1056,4,2,2010,144000,L,30
1959,1063,1287,7,2,2010,162000,L,51
1967,710,2978,11,2,2010,242000,L,43
1948,816,1224,5,1,2010,132000,S,62
1959,1246,1246,6,1,2010,154000,S,51
1952,910,1385,6,2,2010,166000,L,58
1951,900,900,5,2,2010,134800,L,59
1962,1116,1116,5,2,2010,160000,L,48
1960,1175,1175,6,2,2010,148000,L,50
1963,1395,1395,7,2,2010,192000,L,47
1966,756,1839,7,2,2010,155000,L,44
1900,709,1844,9,1,2010,80400,S,110
1910,576,1140,7,0,2010,96500,S,100
1920,936,936,5,0,2010,109500,S,90
1927,1008,1028,5,2,2010,115000,L,83
1957,1347,1347,6,2,2010,143000,L,53
1915,840,1605,8,1,2010,107400,S,95
1945,747,747,4,1,2010,80000,S,65
1940,788,804,4,1,2010,119000,S,70
1929,926,1316,6,2,2010,130000,L,81
1938,827,1251,6,1,2010,119000,S,72
1948,1027,1633,7,1,2010,129000,S,62
1920,1008,1245,6,1,2010,100000,S,90
1923,678,832,5,2,2010,12789,L,87
1928,624,720,5,2,2010,105900,L,82
1900,930,1566,7,1,2010,150000,S,110
1915,686,1652,7,1,2010,139000,S,95
1890,346,2268,7,2,2010,240000,L,120
1910,840,2256,12,0,2010,76500,S,100
1957,912,1236,6,2,2010,149700,L,53
1910,622,1363,6,2,2010,125500,L,100
1885,777,2290,11,2,2010,122500,L,125
1922,738,1470,6,2,2010,140750,L,88
1950,988,1612,7,1,2010,128500,S,60
1922,1108,2068,8,1,2010,209500,S,88
1925,765,765,4,1,2010,87000,S,85
1939,608,1132,5,1,2010,134000,S,71
1940,572,1196,6,2,2010,128000,L,70
1942,835,1453,7,1,2010,132000,S,68
1948,780,1416,6,1,2010,139900,S,62
1936,528,1040,5,2,2010,123900,L,74
1930,928,1536,7,2,2010,138400,L,80
1923,1124,1068,5,1,2010,109500,S,87
1921,576,1710,9,2,2010,140000,L,89
1915,888,1962,9,2,2010,149500,L,95
1912,780,1560,7,0,2010,159900,S,98
1920,662,1324,6,1,2010,122000,S,90
1963,816,816,5,2,2010,110000,L,47
1930,0,1092,7,0,2010,55000,S,80
1900,360,1812,8,2,2010,140000,L,110
1940,1032,2403,10,1,2010,244400,S,70
1959,1422,1675,8,1,2010,173000,S,51
1917,689,1224,6,1,2010,107500,S,93
1915,1212,1392,6,0,2010,100000,S,95
1940,600,919,5,1,2010,95000,S,70
1907,707,1884,7,0,2010,93369,S,103
1910,856,1680,7,2,2010,114900,L,100
1875,780,1020,6,0,2010,94000,S,135
1967,1832,1832,8,0,2010,136000,S,43
1968,1768,1768,8,0,2010,136500,S,42
1965,1039,1039,6,2,2010,131500,L,45
1957,1392,1392,5,2,2010,121500,L,53
1967,912,912,5,1,2010,125000,S,43
1968,1060,1060,6,1,2010,154000,S,42
1966,864,892,5,1,2010,137900,S,44
1969,663,1352,7,1,2010,158000,S,41
1968,864,864,4,1,2010,137250,S,42
1978,1319,1373,5,2,2010,160250,L,32
1968,720,1440,7,2,2010,163000,L,42
1978,672,1386,6,2,2010,158900,L,32
1996,1306,2260,7,2,2010,328000,L,14
1977,1420,1483,4,2,2010,270000,L,33
1927,660,756,4,2,2010,85000,L,83
1950,1067,1067,4,2,2010,128000,L,60
1979,1332,1524,4,2,2010,260000,L,31
1978,1117,1981,8,2,2010,230000,L,32
1938,972,1610,8,1,2010,124000,S,72
1920,458,835,5,1,2010,83000,S,90
1950,663,1074,6,1,2010,144500,S,60
1956,1144,1144,6,1,2010,129000,S,54
1947,756,1531,8,1,2010,127000,S,63
1954,1172,1172,5,1,2010,128000,S,56
2009,1212,1212,6,2,2010,186000,L,1
2009,1508,1508,5,2,2010,308030,L,1
1964,1250,1298,5,2,2010,114000,L,46
1946,0,930,6,1,2010,84900,S,64
1985,741,1732,7,2,2010,178000,L,25
1987,1433,1433,4,2,2010,270000,L,23
1993,946,1802,8,4,2010,218000,L,17
1993,1050,1949,8,2,2010,236000,L,17
1992,936,996,5,2,2010,147000,L,18
2008,1694,1694,7,3,2010,245350,L,2
2006,1187,1208,6,2,2010,206000,L,4
2009,1226,1226,6,3,2010,198900,L,1
2010,1222,1222,6,2,2010,187000,L,0
1990,1673,3222,11,3,2010,320000,L,20
1900,676,1445,6,2,2010,138500,L,110
1971,1010,1052,6,2,2010,155000,L,39
1996,870,965,4,2,2010,159000,L,14
1997,878,1692,8,2,2010,191000,L,13
1998,804,1682,7,2,2010,200500,L,12
1977,1026,1026,5,1,2010,150000,S,33
1977,689,1392,6,1,2010,161750,S,33
1976,894,894,5,1,2010,128200,S,34
1972,876,876,5,2,2010,127000,L,38
2003,1978,1978,8,3,2010,318000,L,7
2001,1581,1601,6,2,2010,272000,L,9
2003,941,1829,7,2,2010,237000,L,7
1997,1040,2098,9,2,2010,240000,L,13
1998,1649,1661,6,2,2010,224900,L,12
2003,848,848,4,2,2010,143750,L,7
2004,848,848,3,2,2010,143000,L,6
2003,1657,1668,8,2,2010,232000,L,7
2004,1473,1484,7,2,2010,213000,L,6
2004,1414,1414,6,2,2010,185500,L,6
1945,0,640,5,1,2010,84900,S,65
1954,381,992,6,1,2010,155891,S,56
1965,0,1664,8,0,2010,100000,S,45
1968,1196,1196,6,1,2010,144000,S,42
1948,744,1120,5,2,2010,64000,L,62
1975,1008,1096,5,1,2010,125200,S,35
1976,1029,1117,6,2,2010,107000,L,34
1958,960,960,5,0,2010,90000,S,52
2003,1121,1121,5,2,2010,140000,L,7
1945,735,1487,7,1,2010,113000,S,65
1941,672,924,5,1,2010,80000,S,69
1957,1216,1526,7,1,2010,144500,S,53
1924,1107,1296,5,1,2010,104000,S,86
1915,806,1647,6,1,2010,128000,S,95
1914,864,864,5,1,2010,58500,S,96
1924,1026,1691,6,1,2010,127000,S,86
1939,856,856,4,2,2010,126000,L,71
1967,0,2650,10,0,2010,160000,S,43
1931,894,1666,7,0,2010,100000,S,79
1919,804,2447,10,1,2010,169000,S,91
1941,1528,2133,8,1,2010,257500,S,69
1950,1032,2177,11,2,2010,215000,L,60
1941,1152,2340,9,1,2010,266500,S,69
1959,1902,1902,7,2,2010,335000,L,51
1994,423,1652,6,2,2010,203135,L,16
1989,982,1034,4,2,2010,185000,L,21
1989,1191,1191,5,2,2010,162500,L,21
1959,1501,1801,6,2,2010,289000,L,51
1922,796,1154,7,1,2010,125500,S,88
1941,480,540,4,1,2010,82000,S,69
1921,629,1107,5,1,2010,110000,S,89
1920,698,1128,6,2,2010,68400,L,90
1900,859,1178,7,1,2010,102776,S,110
1952,540,1044,4,2,2010,55993,L,58
1896,756,952,5,1,2010,50138,S,114
2004,1594,1646,5,2,2010,246000,L,6
1998,1049,1916,8,3,2010,254900,L,12
1977,1243,1285,6,2,2010,190000,L,33
2003,1560,1560,7,2,2010,201000,L,7
1976,1012,1034,6,3,2010,169900,L,34
1976,1958,2048,9,2,2010,170000,L,34
1948,747,1687,7,2,2010,160000,L,62
2008,1336,1346,6,3,2010,220000,L,2
2009,1214,1214,6,2,2010,179781,L,1
2006,384,1444,7,2,2010,174000,L,4
2009,774,1968,8,3,2010,269500,L,1
2002,817,1894,8,2,2010,214900,L,8
2002,967,1908,9,2,2010,202900,L,8
2008,2002,2018,10,3,2010,378500,L,2
1965,1068,1264,7,2,2010,169000,L,45
2004,1430,1430,7,2,2010,173500,L,6
1971,912,1824,8,0,2010,139000,S,39
1999,1344,1344,7,2,2010,166500,L,11
1973,546,1092,6,1,2010,83500,S,37
1973,945,945,5,1,2010,119500,S,37
1976,536,1112,4,1,2010,85000,S,34
1970,546,1092,5,0,2010,76000,S,40
1972,630,630,3,0,2010,75500,S,38
1970,546,1092,5,0,2010,88250,S,40
1972,546,1092,5,1,2010,85500,S,38
1971,864,874,5,1,2010,130000,S,39
1962,1188,1188,6,1,2010,157900,S,48
1984,833,833,5,2,2010,149900,L,26
1985,1216,2432,10,2,2010,159000,L,25
1991,624,1274,6,2,2010,136000,L,19
1969,864,1479,8,1,2010,161000,S,41
1994,1679,1803,6,2,2010,285000,L,16
1993,1152,1797,7,2,2010,231000,L,17
1956,882,882,5,1,2009,124500,S,53
1974,1434,1434,7,2,2009,157000,L,35
1972,1952,2704,9,2,2009,345000,L,37
1997,945,1608,7,2,2009,189500,L,12
2003,1008,2283,9,3,2009,270000,L,6
1996,384,1628,7,2,2009,189000,L,13
2006,1746,1746,7,3,2009,377500,L,3
1995,384,1474,7,2,2009,168500,L,14
2004,2208,2522,8,2,2009,375000,L,5
2000,1501,1659,5,2,2009,278000,L,9
1998,1418,1478,5,2,2009,240000,L,11
1995,1587,1734,6,2,2009,239500,L,14
1998,384,1382,7,2,2009,177500,L,11
1998,832,1718,7,2,2009,185000,L,11
1998,952,1636,7,2,2009,191000,L,11
1993,799,1571,7,2,2009,178000,L,16
1993,680,1470,6,2,2009,185000,L,16
1994,707,1516,7,2,2009,181316,L,15
1993,1181,1190,6,2,2009,166000,L,16
1992,808,1593,7,2,2009,178000,L,17
1994,702,1481,6,2,2009,174000,L,15
1992,1158,1167,6,2,2009,173000,L,17
1999,978,1983,9,2,2009,225000,L,10
1990,1424,1442,5,2,2009,180500,L,19
1984,1220,1360,4,2,2009,187500,L,25
2008,2216,2234,9,3,2009,501837,L,1
2008,2046,2046,7,3,2009,372500,L,1
2005,1530,1530,7,2,2009,260000,L,4
1977,1122,1934,6,2,2009,185000,L,32
1980,845,2353,10,2,2009,260000,L,29
1979,1362,1586,7,2,2009,181000,L,30
1977,1386,1411,6,2,2009,82500,L,32
1977,1602,1602,8,2,2009,215000,L,32
1978,832,2050,8,2,2009,154000,L,31
1978,1427,1671,7,2,2009,200000,L,31
1980,1043,2673,9,2,2009,249000,L,29
1980,1372,1472,6,2,2009,187500,L,29
1978,1140,1707,7,2,2009,184000,L,31
1981,2524,2524,9,2,2009,278000,L,28
1978,1271,1601,7,2,2009,157000,L,31
1976,1090,1370,6,2,2009,152000,L,33
1976,780,1868,9,2,2009,197500,L,33
2003,926,1884,7,2,2009,240900,L,6
2009,832,1935,8,2,2009,263435,L,0
2000,1058,1874,7,2,2009,220000,L,9
2002,972,1811,7,2,2009,235000,L,7
1975,1621,1621,7,2,2009,213000,L,34
1974,1116,1116,6,2,2009,167900,L,35
1975,1176,1193,5,2,2009,158000,L,34
1974,1064,1350,7,2,2009,165000,L,35
1972,689,2119,7,2,2009,158000,L,37
1974,896,1792,8,0,2009,136000,S,35
1970,1002,1002,5,2,2009,148500,L,39
1969,1026,1026,5,2,2009,156000,L,40
1970,1180,1180,6,2,2009,128000,L,39
1971,1043,1050,6,1,2009,143000,S,38
1970,864,864,5,2,2009,76500,L,39
1970,864,864,5,2,2009,120500,L,39
1970,864,864,5,2,2009,124500,L,39
1971,864,864,4,2,2009,97000,L,38
1971,864,864,5,2,2009,130000,L,38
1973,483,987,5,1,2009,111000,S,36
1970,765,1365,7,2,2009,125000,L,39
1971,630,1302,6,1,2009,112000,S,38
1972,483,987,5,1,2009,97000,S,37
1972,483,987,5,1,2009,118000,S,37
1972,630,1302,6,1,2009,119500,S,37
1976,958,958,5,2,2009,143750,L,33
1976,804,1548,7,2,2009,146000,L,33
1976,855,1456,7,2,2009,148500,L,33
1975,1057,1055,4,2,2009,123000,L,34
1974,855,1322,6,2,2009,147000,L,35
1977,855,1456,6,2,2009,137900,L,32
1978,804,1548,7,2,2009,147000,L,31
1978,855,1441,7,2,2009,148500,L,31
1978,855,1456,6,2,2009,138000,L,31
1976,836,836,5,1,2009,128500,S,33
1967,892,892,5,1,2009,100000,S,42
1966,864,1120,5,2,2009,148800,L,43
2006,1700,1718,7,3,2009,337500,L,3
2007,1776,2772,10,3,2009,462000,L,2
2008,1926,3140,11,3,2009,485000,L,1
2008,3094,2402,10,3,2009,555000,L,1
2006,1652,1652,6,2,2009,325000,L,3
2007,1566,1600,7,3,2009,256300,L,2
2008,2042,2042,8,3,2009,253293,L,1
2009,1365,2690,8,3,2009,398800,L,0
2008,1104,2184,10,3,2009,335000,L,1
2008,2020,2020,7,3,2009,404000,L,1
2009,2006,2020,9,3,2009,402861,L,0
2008,1722,2296,10,3,2009,451950,L,1
2007,2630,2674,8,3,2009,610000,L,2
2008,1734,2822,12,3,2009,582933,L,1
2008,1736,1736,7,3,2009,360000,L,1
2004,1782,1782,7,3,2009,296000,L,5
2007,1508,2520,10,3,2009,409900,L,2
2006,1709,1717,7,3,2009,255500,L,3
2008,1739,1743,8,3,2009,335000,L,1
2004,1713,1713,7,3,2009,274900,L,5
2006,1504,1531,6,3,2009,300000,L,3
2008,1774,1808,7,3,2009,324000,L,1
2004,1462,2224,10,3,2009,350000,L,5
2004,1836,1836,7,3,2009,280000,L,5
2003,3206,1629,7,3,2009,284000,L,6
2003,1760,1760,8,2,2009,269500,L,6
2009,1502,1502,7,2,2009,233170,L,0
2003,2392,2392,8,3,2009,386250,L,6
2003,2452,2452,10,3,2009,445000,L,6
2003,1082,2400,10,3,2009,290000,L,6
2006,1598,1606,6,3,2009,255900,L,3
2005,1358,1358,6,2,2009,213000,L,4
2005,1306,1306,5,2,2009,196000,L,4
2005,1306,1306,5,2,2009,184500,L,4
2007,1350,1358,6,2,2009,212500,L,2
2007,1314,1314,6,2,2009,230000,L,2
2004,2492,2492,8,3,2009,552000,L,5
2003,2200,2200,8,3,2009,382500,L,6
2008,1884,1884,6,2,2009,320000,L,1
2008,1451,1456,6,2,2009,248500,L,1
2002,1712,1712,8,3,2009,286500,L,7
2006,1324,1324,6,2,2009,254000,L,3
2003,1405,1405,6,2,2009,173000,L,6
2003,764,1626,6,2,2009,173000,L,6
2005,728,1456,8,2,2009,184000,L,4
2005,745,1490,7,2,2009,167800,L,4
2005,742,1484,8,2,2009,174000,L,4
2005,684,1560,6,2,2009,174000,L,4
2007,1373,1555,7,3,2009,174000,L,2
2007,1386,1569,7,3,2009,175900,L,2
2005,1373,1555,7,2,2009,192500,L,4
2005,1346,1504,7,2,2009,181000,L,4
2005,1220,1220,5,2,2009,180000,L,4
2005,1145,1145,5,2,2009,160200,L,4
2004,716,1432,6,2,2009,188500,L,5
2002,1010,2267,8,2,2009,200000,L,7
2004,384,1374,6,2,2009,170000,L,5
2004,868,1630,7,2,2009,189500,L,5
2002,408,1419,7,2,2009,184100,L,7
2004,846,1594,7,2,2009,195500,L,5
2003,782,1489,8,2,2009,192000,L,6
2003,698,1342,7,2,2009,178000,L,6
2007,1314,1314,6,2,2009,207500,L,2
2000,952,2256,8,2,2009,236000,L,9
2002,870,2004,8,3,2009,257500,L,7
2000,992,2054,7,2,2009,244000,L,9
2004,384,1374,7,2,2009,167000,L,5
2000,982,1800,7,2,2009,179000,L,9
2000,794,1514,7,2,2009,190000,L,9
1999,384,1430,7,2,2009,156000,L,10
1999,1177,2312,8,3,2009,245000,L,10
1999,841,1675,7,2,2009,181000,L,10
1999,992,2060,8,2,2009,214000,L,10
1999,384,1430,7,2,2009,168000,L,10
1999,1252,2365,8,3,2009,337000,L,10
1995,1462,2794,9,3,2009,403000,L,14
2000,1455,2687,10,3,2009,327000,L,9
1998,1284,2450,7,3,2009,340000,L,11
1998,1225,2612,8,3,2009,336000,L,11
1996,1264,2344,7,3,2009,265000,L,13
1994,2024,2063,7,3,2009,315000,L,15
1993,1347,2646,9,3,2009,260000,L,16
1995,1070,2061,7,2,2009,260000,L,14
1993,1173,2232,8,2,2009,263550,L,16
1994,1629,2448,8,3,2009,402000,L,15
1994,973,1850,7,2,2009,248000,L,15
2008,1468,1468,6,3,2009,244600,L,1
2008,1696,1696,7,3,2009,275000,L,1
2008,1614,1658,7,3,2009,257500,L,1
2008,1573,1578,7,3,2009,287090,L,1
2007,1702,1702,7,3,2009,275500,L,2
2006,1422,1432,7,2,2009,245000,L,3
2005,1113,1971,8,2,2009,253000,L,4
2005,2458,2490,9,3,2009,468000,L,4
2009,900,1852,7,2,2009,252678,L,0
2008,768,1590,6,2,2009,210000,L,1
2009,1218,1218,4,2,2009,208300,L,0
2008,1436,1436,6,2,2009,225000,L,1
2009,1300,1314,6,2,2009,229456,L,0
2008,1402,1402,7,2,2009,229800,L,1
2007,1530,1530,7,3,2009,250000,L,2
2009,1766,1766,7,3,2009,370878,L,0
2006,1372,1448,6,2,2009,238500,L,3
2008,1017,2007,10,3,2009,310000,L,1
2006,900,1795,8,3,2009,270000,L,3
2005,1082,1953,9,3,2009,252000,L,4
2006,1092,1550,7,2,2009,241000,L,3
2008,1836,1836,8,2,2009,264500,L,1
2006,1652,1662,8,3,2009,291000,L,3
2003,912,2094,8,2,2009,263000,L,6
2004,1221,1221,6,2,2009,185000,L,5
2003,1553,1553,6,2,2009,234500,L,6
2003,812,1653,6,2,2009,209000,L,6
2007,1218,1218,6,2,2009,159000,L,2
2006,1141,1141,6,2,2009,152000,L,3
2004,1158,1158,5,0,2009,143500,S,5
2004,835,1812,8,2,2009,193000,L,5
2004,1512,1512,6,3,2009,203000,L,5
2003,1176,1200,5,2,2009,184900,L,6
2004,1114,1114,6,2,2009,159000,L,5
2004,1114,1114,6,0,2009,142000,S,5
2003,1114,1114,6,2,2009,153000,L,6
2008,1450,1450,6,3,2009,224243,L,1
1996,913,2122,8,2,2009,220000,L,13
2005,1844,1844,7,2,2009,257000,L,4
2001,1454,1434,6,2,2009,189000,L,8
1992,816,1730,6,2,2009,171500,L,17
1980,626,1217,6,1,2009,120000,S,29
1990,1332,1332,5,2,2009,145000,L,19
1994,754,1540,6,2,2009,184000,L,15
1986,676,1400,6,2,2009,162000,L,23
1981,0,1882,8,2,2009,160000,L,28
1950,721,841,4,1,2009,82000,S,59
1928,784,784,5,2,2009,76000,L,81
1962,980,980,5,2,2009,110000,L,47
1977,980,980,6,2,2009,135000,L,32
1961,864,864,5,2,2009,141000,L,48
1961,864,864,5,1,2009,122000,S,48
1965,1024,1020,5,1,2009,124100,S,44
1963,912,912,6,1,2009,129000,S,46
1961,864,1144,6,1,2009,131400,S,48
1965,864,864,5,1,2009,62383,S,44
1962,912,912,6,1,2009,123000,S,47
1980,2014,2014,6,3,2009,275000,L,29
1991,975,1755,7,2,2009,235000,L,18
2004,1376,3005,9,3,2009,280750,L,5
2009,612,1224,4,2,2009,164500,L,0
2009,612,1224,4,2,2009,173733,L,0
2008,1726,1726,6,2,2009,222000,L,1
2008,1145,1256,5,2,2009,195000,L,1
1999,729,1471,6,2,2009,172500,L,10
2000,756,1512,4,2,2009,180000,L,9
1999,691,1452,6,2,2009,156000,L,10
1999,970,1739,7,2,2009,172500,L,10
1977,1694,1694,5,2,2009,318750,L,32
1981,1226,1226,4,2,2009,211500,L,28
1981,1740,1740,7,2,2009,241600,L,28
1976,392,2499,5,2,2009,180500,L,33
1976,1281,1620,8,2,2009,150000,L,33
1968,727,1556,8,2,2009,154000,L,41
1970,1442,1442,6,2,2009,185000,L,39
1968,1489,1489,7,2,2009,185750,L,41
1973,1107,2090,7,2,2009,200000,L,36
1974,752,2067,7,2,2009,206000,L,35
1972,723,1395,6,2,2009,162000,L,37
1967,932,2640,8,2,2009,256900,L,42
1967,1680,1724,7,2,2009,197900,L,42
1969,1288,1336,6,2,2009,163000,L,40
1969,1216,1216,5,1,2009,113000,S,40
1977,908,2288,8,2,2009,230000,L,32
1977,1350,1334,6,2,2009,167900,L,32
1998,1650,1680,7,2,2009,213250,L,11
2001,810,1665,6,2,2009,227000,L,8
1967,864,864,5,1,2009,130000,S,42
1967,1568,1568,7,2,2009,143000,L,42
1965,925,925,5,1,2009,117500,S,44
1974,1165,2061,8,2,2009,168500,L,35
1971,1232,1320,5,2,2009,172500,L,38
1967,1372,1342,7,2,2009,161500,L,42
1960,894,894,5,2,2009,141500,L,49
1959,864,864,5,1,2009,118000,S,50
1959,864,864,5,1,2009,127500,S,50
1957,1040,1362,6,3,2009,140000,L,52
1956,1048,1728,7,2,2009,177625,L,53
1958,1584,1776,9,3,2009,110000,L,51
1964,1516,1516,6,2,2009,167000,L,45
1961,1313,1313,6,2,2009,153000,L,48
1964,1292,1292,6,2,2009,145100,L,45
1966,1154,1154,6,2,2009,154000,L,43
1965,744,2140,7,2,2009,177500,L,44
1964,1127,1445,7,2,2009,158000,L,45
1959,1041,1041,6,1,2009,124500,S,50
1961,1208,1576,7,2,2009,174500,L,48
1955,960,960,5,1,2009,122000,S,54
1940,420,708,5,0,2009,82500,S,69
1950,709,1203,5,1,2009,110000,S,59
1953,1505,1505,6,2,2009,149500,L,56
1967,1680,1691,5,2,2009,175000,L,42
1953,1416,1644,7,2,2009,167000,L,56
